date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:48	221414/221414	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2011:37:28%20GMT	https://w3crm.dexignzone.com/xhtml/index.html	C:/My%20Web%20Sites/Hospital%20Management/w3crm.dexignzone.com/xhtml/index.html	(from )
09:35:49	238/238	---MC-	302	error ('Found')	text/html	date:Mon,%2010%20Jun%202024%2008:35:49%20GMT	https://w3crm.dexignzone.com/robots.txt		(from )
09:35:49	125370/125370	---M--	200	added ('OK')	image/png	etag:%221e9ba-61a498b007bbd%22	https://w3crm.dexignzone.com/xhtml/social-image.png	C:/My%20Web%20Sites/Hospital%20Management/w3crm.dexignzone.com/xhtml/social-image.png	(from https://w3crm.dexignzone.com/xhtml/index.html)
09:35:50	3295/3295	---M--	200	added ('OK')	image/png	etag:%22cdf-5f54bf8dae280%22	https://w3crm.dexignzone.com/xhtml/images/favicon.png	C:/My%20Web%20Sites/Hospital%20Management/w3crm.dexignzone.com/xhtml/images/favicon.png	(from https://w3crm.dexignzone.com/xhtml/index.html)
09:35:51	11120/11120	---MCZ	200	added ('OK')	text/css	etag:W/%222b70-5a388fa8d5780%22	https://w3crm.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/Hospital%20Management/w3crm.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
09:35:52	5696/5696	---MCZ	200	added ('OK')	text/css	etag:W/%221640-5df4ce0f1ba00%22	https://w3crm.dexignzone.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Hospital%20Management/w3crm.dexignzone.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
09:35:52	475/475	---MC-	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2008:35:53%20GMT	https://fonts.googleapis.com/css2?family=Material+Icons	C:/My%20Web%20Sites/Hospital%20Management/fonts.googleapis.com/css2e91f.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
09:35:53	4294/4294	---M-Z	200	added ('OK')	text/css	etag:%2260533520-10c6%22	https://cdnjs.cloudflare.com/ajax/libs/noUiSlider/14.6.4/nouislider.min.css	C:/My%20Web%20Sites/Hospital%20Management/cdnjs.cloudflare.com/ajax/libs/noUiSlider/14.6.4/nouislider.min.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
09:35:53	13901/13901	---MCZ	200	added ('OK')	text/css	etag:W/%22364d-5f3a47e239300%22	https://w3crm.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	C:/My%20Web%20Sites/Hospital%20Management/w3crm.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
09:35:54	6635/6635	---MCZ	200	added ('OK')	text/css	etag:W/%2219eb-59e4d49b7b580%22	https://w3crm.dexignzone.com/xhtml/vendor/jvmap/jquery-jvectormap.css	C:/My%20Web%20Sites/Hospital%20Management/w3crm.dexignzone.com/xhtml/vendor/jvmap/jquery-jvectormap.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
